Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.68,0.76,0.84,0.92,1.0,1.14,1.28,1.42,1.56,1.7,2.06,2.42,2.78,3.14,3.5,3.7,3.9,4.1,4.3,4.5
Albania,1.1,1.28,1.46,1.64,1.82,2.0,2.28,2.56,2.84,3.12,3.4,3.76,4.12,4.48,4.84,5.2,5.56,5.92,6.28,6.64,7.0,7.36,7.72,8.08,8.44,8.8,9.1,9.4,9.7,10.0,10.3,10.74,11.18,11.62,12.06,12.5,12.84,13.18,13.52,13.86,14.2,15.0,15.8,16.6,17.4,18.2,19.14,20.08,21.02,21.96,22.9,23.02,23.14,23.26,23.38,23.5
Algeria,0.0,0.02,0.04,0.06,0.08,0.1,0.14,0.18,0.22,0.26,0.3,0.4,0.5,0.6,0.7,0.8,0.98,1.16,1.34,1.52,1.7,2.04,2.38,2.72,3.06,3.4,3.88,4.36,4.84,5.32,5.8,6.3,6.8,7.3,7.8,8.3,8.96,9.62,10.28,10.94,11.6,12.18,12.76,13.34,13.92,14.5,15.08,15.66,16.24,16.82,17.4,17.98,18.56,19.14,19.72,20.3
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.14,0.16,0.18,0.2,0.24,0.28,0.32,0.36,0.4
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,10.48,15.72,20.96,26.2
Argentina,0.7,0.82,0.94,1.06,1.18,1.3,1.5,1.7,1.9,2.1,2.3,2.54,2.78,3.02,3.26,3.5,3.78,4.06,4.34,4.62,4.9,5.28,5.66,6.04,6.42,6.8,7.3,7.8,8.3,8.8,9.3,9.86,10.42,10.98,11.54,12.1,12.66,13.22,13.78,14.34,14.9,15.64,16.38,17.12,17.86,18.6,19.3,20.0,20.7,21.4,22.1,22.6,23.1,23.6,24.1,24.6
Armenia,4.9,5.4,5.9,6.4,6.9,7.4,7.96,8.52,9.08,9.64,10.2,10.68,11.16,11.64,12.12,12.6,13.16,13.72,14.28,14.84,15.4,16.2,17.0,17.8,18.6,19.4,20.08,20.76,21.44,22.12,22.8,23.28,23.76,24.24,24.72,25.2,25.58,25.96,26.34,26.72,27.1,27.44,27.78,28.12,28.46,28.8,28.96,29.12,29.28,29.44,29.6,30.2,30.8,31.4,32.0,32.6
Aruba,0.8,1.02,1.24,1.46,1.68,1.9,2.18,2.46,2.74,3.02,3.3,3.72,4.14,4.56,4.98,5.4,5.98,6.56,7.14,7.72,8.3,9.22,10.14,11.06,11.98,12.9,14.06,15.22,16.38,17.54,18.7,19.46,20.22,20.98,21.74,22.5,23.08,23.66,24.24,24.82,25.4,25.82,26.24,26.66,27.08,27.5,27.66,27.82,27.98,28.14,28.3,29.26,30.22,31.18,32.14,33.1
Australia,7.0,7.62,8.24,8.86,9.48,10.1,10.88,11.66,12.44,13.22,14.0,14.86,15.72,16.58,17.44,18.3,19.2,20.1,21.0,21.9,22.8,23.68,24.56,25.44,26.32,27.2,28.18,29.16,30.14,31.12,32.1,33.0,33.9,34.8,35.7,36.6,37.12,37.64,38.16,38.68,39.2,39.48,39.76,40.04,40.32,40.6,40.98,41.36,41.74,42.12,42.5,43.76,45.02,46.28,47.54,48.8
Austria,5.7,5.88,6.06,6.24,6.42,6.6,6.9,7.2,7.5,7.8,8.1,8.7,9.3,9.9,10.5,11.1,11.98,12.86,13.74,14.62,15.5,16.54,17.58,18.62,19.66,20.7,21.4,22.1,22.8,23.5,24.2,24.68,25.16,25.64,26.12,26.6,27.26,27.92,28.58,29.24,29.9,30.46,31.02,31.58,32.14,32.7,33.26,33.82,34.38,34.94,35.5,36.02,36.54,37.06,37.58,38.1
Azerbaijan,1.5,1.66,1.82,1.98,2.14,2.3,2.52,2.74,2.96,3.18,3.4,3.64,3.88,4.12,4.36,4.6,4.8,5.0,5.2,5.4,5.6,5.88,6.16,6.44,6.72,7.0,7.42,7.84,8.26,8.68,9.1,9.6,10.1,10.6,11.1,11.6,11.88,12.16,12.44,12.72,13.0,13.42,13.84,14.26,14.68,15.1,15.48,15.86,16.24,16.62,17.0,17.34,17.68,18.02,18.36,18.7
Bahamas,3.7,4.04,4.38,4.72,5.06,5.4,5.92,6.44,6.96,7.48,8.0,8.9,9.8,10.7,11.6,12.5,13.72,14.94,16.16,17.38,18.6,19.9,21.2,22.5,23.8,25.1,26.28,27.46,28.64,29.82,31.0,31.5,32.0,32.5,33.0,33.5,33.54,33.58,33.62,33.66,33.7,33.36,33.02,32.68,32.34,32.0,31.94,31.88,31.82,31.76,31.7,32.52,33.34,34.16,34.98,35.8
Bahrain,0.2,0.52,0.84,1.16,1.48,1.8,2.32,2.84,3.36,3.88,4.4,4.68,4.96,5.24,5.52,5.8,6.12,6.44,6.76,7.08,7.4,7.72,8.04,8.36,8.68,9.0,9.38,9.76,10.14,10.52,10.9,11.3,11.7,12.1,12.5,12.9,13.3,13.7,14.1,14.5,14.9,15.24,15.58,15.92,16.26,16.6,16.94,17.28,17.62,17.96,18.3,18.96,19.62,20.28,20.94,21.6
Bangladesh,0.0,0.02,0.04,0.06,0.08,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.34,0.38,0.42,0.46,0.5,0.56,0.62,0.68,0.74,0.8,0.86,0.92,0.98,1.04,1.1,1.22,1.34,1.46,1.58,1.7,1.92,2.14,2.36,2.58,2.8,3.18,3.56,3.94,4.32,4.7,5.1,5.5,5.9,6.3,6.7
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22,10.44,15.66,20.88,26.1
Belarus,4.3,5.2,6.1,7.0,7.9,8.8,9.68,10.56,11.44,12.32,13.2,14.12,15.04,15.96,16.88,17.8,18.3,18.8,19.3,19.8,20.3,20.48,20.66,20.84,21.02,21.2,21.22,21.24,21.26,21.28,21.3,21.46,21.62,21.78,21.94,22.1,22.48,22.86,23.24,23.62,24.0,24.96,25.92,26.88,27.84,28.8,29.16,29.52,29.88,30.24,30.6,31.0,31.4,31.8,32.2,32.6
Belgium,4.2,4.48,4.76,5.04,5.32,5.6,6.02,6.44,6.86,7.28,7.7,8.26,8.82,9.38,9.94,10.5,11.34,12.18,13.02,13.86,14.7,15.68,16.66,17.64,18.62,19.6,20.46,21.32,22.18,23.04,23.9,24.54,25.18,25.82,26.46,27.1,27.54,27.98,28.42,28.86,29.3,29.62,29.94,30.26,30.58,30.9,31.16,31.42,31.68,31.94,32.2,33.34,34.48,35.62,36.76,37.9
Belize,0.1,0.16,0.22,0.28,0.34,0.4,0.48,0.56,0.64,0.72,0.8,0.96,1.12,1.28,1.44,1.6,1.76,1.92,2.08,2.24,2.4,2.64,2.88,3.12,3.36,3.6,3.96,4.32,4.68,5.04,5.4,5.84,6.28,6.72,7.16,7.6,8.08,8.56,9.04,9.52,10.0,10.62,11.24,11.86,12.48,13.1,14.06,15.02,15.98,16.94,17.9,18.38,18.86,19.34,19.82,20.3
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.14,0.18,0.22,0.26,0.3,0.36,0.42,0.48,0.54,0.6,0.62,0.64,0.66,0.68,0.7,0.66,0.62,0.58,0.54,0.5,0.54,0.58,0.62,0.66,0.7,0.9,1.1,1.3,1.5,1.7,2.12,2.54,2.96,3.38,3.8,3.88,3.96,4.04,4.12,4.2
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.16,0.22,0.28,0.34,0.4,0.48,0.56,0.64,0.72,0.8,0.94,1.08,1.22,1.36,1.5,1.84,2.18,2.52,2.86,3.2,4.04,4.88,5.72,6.56,7.4,7.78,8.16,8.54,8.92,9.3,9.62,9.94,10.26,10.58,10.9
Bolivia,0.4,0.46,0.52,0.58,0.64,0.7,0.78,0.86,0.94,1.02,1.1,1.24,1.38,1.52,1.66,1.8,2.04,2.28,2.52,2.76,3.0,3.32,3.64,3.96,4.28,4.6,4.98,5.36,5.74,6.12,6.5,7.0,7.5,8.0,8.5,9.0,9.62,10.24,10.86,11.48,12.1,12.86,13.62,14.38,15.14,15.9,16.7,17.5,18.3,19.1,19.9,20.56,21.22,21.88,22.54,23.2
Bosnia and Herzegovina,1.0,1.14,1.28,1.42,1.56,1.7,1.86,2.02,2.18,2.34,2.5,2.74,2.98,3.22,3.46,3.7,3.98,4.26,4.54,4.82,5.1,5.46,5.82,6.18,6.54,6.9,7.34,7.78,8.22,8.66,9.1,9.48,9.86,10.24,10.62,11.0,11.1,11.2,11.3,11.4,11.5,12.14,12.78,13.42,14.06,14.7,15.8,16.9,18.0,19.1,20.2,20.98,21.76,22.54,23.32,24.1
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.14,0.18,0.22,0.26,0.3,0.42,0.54,0.66,0.78,0.9,1.16,1.42,1.68,1.94,2.2,2.6,3.0,3.4,3.8,4.2,4.76,5.32,5.88,6.44,7.0,7.78,8.56,9.34,10.12,10.9,12.02,13.14,14.26,15.38,16.5,17.0,17.5,18.0,18.5,19.0,19.74,20.48,21.22,21.96,22.7
Brazil,0.2,0.22,0.24,0.26,0.28,0.3,0.36,0.42,0.48,0.54,0.6,0.72,0.84,0.96,1.08,1.2,1.38,1.56,1.74,1.92,2.1,2.36,2.62,2.88,3.14,3.4,3.72,4.04,4.36,4.68,5.0,5.32,5.64,5.96,6.28,6.6,6.98,7.36,7.74,8.12,8.5,8.94,9.38,9.82,10.26,10.7,11.06,11.42,11.78,12.14,12.5,12.94,13.38,13.82,14.26,14.7
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,5.48,8.22,10.96,13.7
Bulgaria,7.7,8.42,9.14,9.86,10.58,11.3,12.06,12.82,13.58,14.34,15.1,15.88,16.66,17.44,18.22,19.0,19.68,20.36,21.04,21.72,22.4,22.82,23.24,23.66,24.08,24.5,24.9,25.3,25.7,26.1,26.5,26.88,27.26,27.64,28.02,28.4,28.34,28.28,28.22,28.16,28.1,27.9,27.7,27.5,27.3,27.1,27.0,26.9,26.8,26.7,26.6,27.52,28.44,29.36,30.28,31.2
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.26,0.32,0.38,0.44,0.5,0.62,0.74,0.86,0.98,1.1,1.18,1.26,1.34,1.42,1.5,1.38,1.26,1.14,1.02,0.9,1.02,1.14,1.26,1.38,1.5,1.62,1.74,1.86,1.98,2.1
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.28,0.36,0.44,0.52,0.6,0.78,0.96,1.14,1.32,1.5,1.56,1.62,1.68,1.74,1.8,2.0,2.2,2.4,2.6,2.8
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.1,0.1,0.1,0.1,0.1,0.16,0.22,0.28,0.34,0.4,0.58,0.76,0.94,1.12,1.3,1.44,1.58,1.72,1.86,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0
Cameroon,0.0,0.02,0.04,0.06,0.08,0.1,0.1,0.1,0.1,0.1,0.1,0.16,0.22,0.28,0.34,0.4,0.48,0.56,0.64,0.72,0.8,0.94,1.08,1.22,1.36,1.5,1.74,1.98,2.22,2.46,2.7,3.12,3.54,3.96,4.38,4.8,5.1,5.4,5.7,6.0,6.3,6.94,7.58,8.22,8.86,9.5,9.78,10.06,10.34,10.62,10.9,11.2,11.5,11.8,12.1,12.4
Canada,19.9,21.1,22.3,23.5,24.7,25.9,27.2,28.5,29.8,31.1,32.4,33.58,34.76,35.94,37.12,38.3,39.36,40.42,41.48,42.54,43.6,44.58,45.56,46.54,47.52,48.5,49.28,50.06,50.84,51.62,52.4,52.86,53.32,53.78,54.24,54.7,55.1,55.5,55.9,56.3,56.7,57.28,57.86,58.44,59.02,59.6,60.22,60.84,61.46,62.08,62.7,63.68,64.66,65.64,66.62,67.6
Cape Verde,0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.26,0.32,0.38,0.44,0.5,0.54,0.58,0.62,0.66,0.7,0.74,0.78,0.82,0.86,0.9,0.98,1.06,1.14,1.22,1.3,1.4,1.5,1.6,1.7,1.8,2.12,2.44,2.76,3.08,3.4,3.66,3.92,4.18,4.44,4.7,4.92,5.14,5.36,5.58,5.8,6.02,6.24,6.46,6.68,6.9
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.24,0.38,0.52,0.66,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.0,1.1,1.2,1.3,1.42,1.54,1.66,1.78,1.9,2.0,2.1,2.2,2.3,2.4,2.52,2.64,2.76,2.88,3.0
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.28,0.26,0.24,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.24,0.28,0.32,0.36,0.4,0.5,0.6,0.7,0.8,0.9,1.08,1.26,1.44,1.62,1.8,2.02,2.24,2.46,2.68,2.9
Channel Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,18.2,27.3,36.4,45.5
Chile,1.3,1.44,1.58,1.72,1.86,2.0,2.22,2.44,2.66,2.88,3.1,3.44,3.78,4.12,4.46,4.8,5.2,5.6,6.0,6.4,6.8,7.28,7.76,8.24,8.72,9.2,9.68,10.16,10.64,11.12,11.6,12.02,12.44,12.86,13.28,13.7,14.02,14.34,14.66,14.98,15.3,15.8,16.3,16.8,17.3,17.8,18.3,18.8,19.3,19.8,20.3,20.8,21.3,21.8,22.3,22.8
China,0.2,0.24,0.28,0.32,0.36,0.4,0.48,0.56,0.64,0.72,0.8,0.94,1.08,1.22,1.36,1.5,1.78,2.06,2.34,2.62,2.9,3.32,3.74,4.16,4.58,5.0,5.36,5.72,6.08,6.44,6.8,7.0,7.2,7.4,7.6,7.8,8.36,8.92,9.48,10.04,10.6,11.52,12.44,13.36,14.28,15.2,16.4,17.6,18.8,20.0,21.2,21.76,22.32,22.88,23.44,24.0
Colombia,0.1,0.12,0.14,0.16,0.18,0.2,0.28,0.36,0.44,0.52,0.6,0.76,0.92,1.08,1.24,1.4,1.68,1.96,2.24,2.52,2.8,3.24,3.68,4.12,4.56,5.0,5.6,6.2,6.8,7.4,8.0,8.74,9.48,10.22,10.96,11.7,12.64,13.58,14.52,15.46,16.4,17.28,18.16,19.04,19.92,20.8,21.24,21.68,22.12,22.56,23.0,23.44,23.88,24.32,24.76,25.2
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.16,0.22,0.28,0.34,0.4,0.5,0.6,0.7,0.8,0.9,1.04,1.18,1.32,1.46,1.6,1.78,1.96,2.14,2.32,2.5,2.72,2.94,3.16,3.38,3.6,4.0,4.4,4.8,5.2,5.6,6.3,7.0,7.7,8.4,9.1,9.74,10.38,11.02,11.66,12.3,13.22,14.14,15.06,15.98,16.9
Congo,0.0,0.04,0.08,0.12,0.16,0.2,0.32,0.44,0.56,0.68,0.8,1.1,1.4,1.7,2.0,2.3,2.82,3.34,3.86,4.38,4.9,5.32,5.74,6.16,6.58,7.0,7.14,7.28,7.42,7.56,7.7,7.64,7.58,7.52,7.46,7.4,7.4,7.4,7.4,7.4,7.4,7.28,7.16,7.04,6.92,6.8,6.76,6.72,6.68,6.64,6.6,6.92,7.24,7.56,7.88,8.2
Costa Rica,0.9,1.12,1.34,1.56,1.78,2.0,2.38,2.76,3.14,3.52,3.9,4.38,4.86,5.34,5.82,6.3,6.86,7.42,7.98,8.54,9.1,9.52,9.94,10.36,10.78,11.2,11.36,11.52,11.68,11.84,12.0,12.08,12.16,12.24,12.32,12.4,12.7,13.0,13.3,13.6,13.9,14.54,15.18,15.82,16.46,17.1,18.02,18.94,19.86,20.78,21.7,22.36,23.02,23.68,24.34,25.0
Cote d'Ivoire,0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.24,0.26,0.28,0.3,0.34,0.38,0.42,0.46,0.5,0.58,0.66,0.74,0.82,0.9,1.02,1.14,1.26,1.38,1.5,1.66,1.82,1.98,2.14,2.3,2.56,2.82,3.08,3.34,3.6,3.98,4.36,4.74,5.12,5.5,5.9,6.3,6.7,7.1,7.5
Croatia,7.5,7.8,8.1,8.4,8.7,9.0,9.3,9.6,9.9,10.2,10.5,10.74,10.98,11.22,11.46,11.7,12.08,12.46,12.84,13.22,13.6,14.12,14.64,15.16,15.68,16.2,16.5,16.8,17.1,17.4,17.7,18.06,18.42,18.78,19.14,19.5,20.14,20.78,21.42,22.06,22.7,22.5,22.3,22.1,21.9,21.7,21.84,21.98,22.12,22.26,22.4,23.28,24.16,25.04,25.92,26.8
Cuba,0.4,0.46,0.52,0.58,0.64,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.88,2.06,2.24,2.42,2.6,2.86,3.12,3.38,3.64,3.9,4.18,4.46,4.74,5.02,5.3,5.5,5.7,5.9,6.1,6.3,6.3,6.3,6.3,6.3,6.3,6.82,7.34,7.86,8.38,8.9,9.42,9.94,10.46,10.98,11.5,12.02,12.54,13.06,13.58,14.1
Curaçao,1.1,1.28,1.46,1.64,1.82,2.0,2.22,2.44,2.66,2.88,3.1,3.42,3.74,4.06,4.38,4.7,5.12,5.54,5.96,6.38,6.8,7.18,7.56,7.94,8.32,8.7,9.16,9.62,10.08,10.54,11.0,11.46,11.92,12.38,12.84,13.3,13.54,13.78,14.02,14.26,14.5,14.64,14.78,14.92,15.06,15.2,15.3,15.4,15.5,15.6,15.7,16.76,17.82,18.88,19.94,21.0
Cyprus,1.9,2.32,2.74,3.16,3.58,4.0,4.68,5.36,6.04,6.72,7.4,8.42,9.44,10.46,11.48,12.5,13.78,15.06,16.34,17.62,18.9,20.32,21.74,23.16,24.58,26.0,27.4,28.8,30.2,31.6,33.0,34.08,35.16,36.24,37.32,38.4,39.22,40.04,40.86,41.68,42.5,42.88,43.26,43.64,44.02,44.4,44.92,45.44,45.96,46.48,47.0,48.08,49.16,50.24,51.32,52.4
Czech Republic,4.9,5.26,5.62,5.98,6.34,6.7,7.3,7.9,8.5,9.1,9.7,10.18,10.66,11.14,11.62,12.1,12.6,13.1,13.6,14.1,14.6,15.1,15.6,16.1,16.6,17.1,17.34,17.58,17.82,18.06,18.3,18.5,18.7,18.9,19.1,19.3,19.8,20.3,20.8,21.3,21.8,22.9,24.0,25.1,26.2,27.3,27.12,26.94,26.76,26.58,26.4,27.0,27.6,28.2,28.8,29.4
North Korea,4.5,4.96,5.42,5.88,6.34,6.8,7.16,7.52,7.88,8.24,8.6,8.86,9.12,9.38,9.64,9.9,10.16,10.42,10.68,10.94,11.2,11.52,11.84,12.16,12.48,12.8,13.04,13.28,13.52,13.76,14.0,14.24,14.48,14.72,14.96,15.2,15.5,15.8,16.1,16.4,16.7,16.9,17.1,17.3,17.5,17.7,17.72,17.74,17.76,17.78,17.8,18.94,20.08,21.22,22.36,23.5
"Congo, Dem. Rep",0.1,0.08,0.06,0.04,0.02,0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.28,0.36,0.44,0.52,0.6,0.74,0.88,1.02,1.16,1.3,1.48,1.66,1.84,2.02,2.2,2.4,2.6,2.8,3.0,3.2,3.38,3.56,3.74,3.92,4.1,4.18,4.26,4.34,4.42,4.5,4.62,4.74,4.86,4.98,5.1,5.36,5.62,5.88,6.14,6.4
Denmark,5.9,6.3,6.7,7.1,7.5,7.9,8.42,8.94,9.46,9.98,10.5,11.02,11.54,12.06,12.58,13.1,13.54,13.98,14.42,14.86,15.3,15.8,16.3,16.8,17.3,17.8,18.46,19.12,19.78,20.44,21.1,21.78,22.46,23.14,23.82,24.5,24.9,25.3,25.7,26.1,26.5,26.62,26.74,26.86,26.98,27.1,27.24,27.38,27.52,27.66,27.8,29.32,30.84,32.36,33.88,35.4
